Hourly Date Time,Account Number,GL Balance,Ihub Balance,difference,BranchAU,CompanyCode,Classification,Anomaly
01-01-2025 00:00,1,4925.066925,5041.991391,-116.9244662,1,44,Balance turned negative,Yes
01-01-2025 00:00,1,2393.724499,3285.474283,-891.7497842,2,6,consistent decrease in difference,No
01-01-2025 00:00,1,9671.074364,6113.632426,3557.441938,3,21,consistent increase in difference,No
01-01-2025 00:00,1,7101.246832,7079.77834,21.46849168,4,8,consistent decrease in difference,No
01-01-2025 00:00,1,8872.19297,9081.107922,-208.9149514,5,50,consistent decrease in difference,No
01-01-2025 00:00,1,7350.99255,14125.9561,-6774.963551,6,36,consistent decrease in difference,No
01-01-2025 00:00,1,6534.742329,6561.466716,-26.72438675,7,44,consistent increase in difference,No
01-01-2025 00:00,1,4396.12514,4370.694212,25.43092757,8,13,Sudden spike in Difference due to GL Balance,Yes
01-01-2025 00:00,1,9410.800268,11517.06475,-2106.264478,9,2,consistent decrease in difference,No
01-01-2025 00:00,1,8070.342906,8102.475467,-32.13256108,10,45,consistent increase in difference,No
01-01-2025 00:00,1,5864.476184,6171.076831,-306.6006475,11,6,consistent decrease in difference,No
01-01-2025 00:00,1,1297.274874,7106.860948,-5809.586074,12,37,consistent decrease in difference,No
01-01-2025 00:00,1,5528.185418,5471.291337,56.89408119,13,23,consistent increase in difference,No
01-01-2025 00:00,1,6906.347851,6385.509964,520.8378873,14,24,consistent increase in difference,No
01-01-2025 00:00,1,1898.309606,13932.99822,-12034.68861,15,44,consistent decrease in difference,No
01-01-2025 00:00,1,6025.387111,5962.599257,62.78785383,16,21,consistent increase in difference,No
01-01-2025 00:00,1,8489.899409,7731.926589,757.9728196,17,6,consistent increase in difference,No
01-01-2025 00:00,1,5397.645304,8427.385276,-3029.739972,18,40,consistent decrease in difference,No
01-01-2025 00:00,1,2577.244787,2682.320587,-105.0757996,19,16,consistent increase in difference,No
01-01-2025 00:00,1,8357.306166,9316.074151,-958.7679845,20,30,consistent decrease in difference,No
01-01-2025 00:00,1,3812.904591,11692.57773,-7879.673139,21,30,consistent decrease in difference,No
01-01-2025 00:00,1,8244.028866,8241.203552,2.825314683,22,19,Consistent,No
01-01-2025 00:00,1,7668.552428,7149.000834,519.5515948,23,33,consistent increase in difference,No
01-01-2025 00:00,1,8567.697534,6258.579702,2309.117832,24,21,consistent increase in difference,No
01-01-2025 00:00,1,7259.644948,7338.181069,-78.53612083,25,34,consistent decrease in difference,No
01-01-2025 00:00,1,6581.986593,6933.285104,-351.2985112,26,24,consistent decrease in difference,No
01-01-2025 00:00,1,5048.094549,11570.46819,-6522.373637,27,7,consistent decrease in difference,No
01-01-2025 00:00,1,9510.22543,9470.689376,39.53605455,28,37,consistent increase in difference,No
01-01-2025 00:00,1,8520.655245,8882.536759,-361.8815139,29,13,consistent decrease in difference,No
01-01-2025 00:00,1,8196.02985,13515.62798,-5319.598135,30,36,consistent decrease in difference,No
01-01-2025 00:00,1,9202.914893,9223.420737,-20.50584401,31,37,consistent increase in difference,No
01-01-2025 00:00,1,6924.089564,6684.508612,239.5809515,32,42,consistent increase in difference,No
01-01-2025 00:00,1,9328.452773,14887.8884,-5559.435631,33,46,consistent decrease in difference,No
01-01-2025 00:00,1,3687.664649,3786.544213,-98.87956469,34,22,consistent increase in difference,No
01-01-2025 00:00,1,9646.54491,9458.814341,187.7305695,35,38,consistent increase in difference,No
01-01-2025 00:00,1,9563.729555,12687.98798,-3124.258425,36,29,consistent decrease in difference,No
01-01-2025 00:00,1,3430.049431,3395.667661,34.38176997,37,41,consistent increase in difference,No
01-01-2025 00:00,1,1656.078988,1333.954051,322.1249369,38,47,consistent increase in difference,No
01-01-2025 00:00,1,4915.697133,10668.08525,-5752.388116,39,46,consistent decrease in difference,No
01-01-2025 00:00,1,8395.674276,8309.065344,86.60893174,40,19,consistent increase in difference,No
01-01-2025 00:00,1,8507.630807,8243.692407,263.9384,41,42,consistent increase in difference,No
01-01-2025 00:00,1,9775.5272,3615.466986,6160.060214,42,49,consistent increase in difference,No
01-01-2025 00:00,1,3066.095403,3061.991168,4.104235088,43,1,Consistent,No
01-01-2025 00:00,1,1351.878427,1065.305119,286.5733081,44,33,consistent increase in difference,No
01-01-2025 00:00,1,8749.346962,4815.534457,3933.812505,45,1,consistent increase in difference,No
01-01-2025 00:00,1,2859.540212,2908.289418,-48.74920564,46,2,consistent decrease in difference,No
01-01-2025 00:00,1,3465.691278,3159.546598,306.1446807,47,31,consistent increase in difference,No
01-01-2025 00:00,1,9832.892695,6243.784655,3589.10804,48,8,consistent increase in difference,No
01-01-2025 00:00,1,5240.845257,5275.007032,-34.16177526,49,14,consistent decrease in difference,No
01-01-2025 00:00,1,8007.870218,8372.317862,-364.4476439,50,14,consistent decrease in difference,No
01-01-2025 00:00,1,9445.927497,2462.782386,6983.145112,51,23,consistent increase in difference,No
01-01-2025 00:00,1,1652.38762,1660.112501,-7.724880996,52,25,Consistent,No
01-01-2025 00:00,1,5199.057716,4969.052935,230.0047809,53,4,consistent increase in difference,No
01-01-2025 00:00,1,7132.625092,13669.19774,-6536.572651,54,8,consistent decrease in difference,No
01-01-2025 00:00,1,9793.073494,9847.665264,-54.59176934,55,3,consistent increase in difference,No
01-01-2025 00:00,1,5406.244203,5710.827289,-304.5830866,56,17,consistent decrease in difference,No
01-01-2025 00:00,1,7884.694793,14844.20153,-6959.506741,57,5,consistent decrease in difference,No
01-01-2025 00:00,1,4633.480654,4598.085162,35.39549208,58,22,consistent increase in difference,No
01-01-2025 00:00,1,5657.320812,3954.938273,1702.382539,59,6,consistent increase in difference,No
01-01-2025 00:00,1,5100.590922,13944.66686,-8844.075942,60,42,consistent decrease in difference,No
01-01-2025 00:00,1,4586.155335,4525.536079,60.61925597,61,21,consistent increase in difference,No
01-01-2025 00:00,1,2234.304303,2509.849291,-275.544988,62,31,consistent decrease in difference,No
01-01-2025 00:00,1,7602.376889,12804.0335,-5201.656606,63,30,consistent decrease in difference,No
01-01-2025 00:00,1,9548.61797,9612.718316,-64.10034596,64,35,consistent increase in difference,No
01-01-2025 00:00,1,6152.55022,6150.603749,1.946471446,65,13,Consistent,No
01-01-2025 00:00,1,3996.452226,11318.79499,-7322.342761,66,49,consistent decrease in difference,No
01-01-2025 00:00,1,8830.171352,8755.076609,75.0947438,67,12,consistent increase in difference,No
01-01-2025 00:00,1,6471.359222,7162.058245,-690.6990229,68,45,consistent decrease in difference,No
01-01-2025 00:00,1,3016.822651,9211.047792,-6194.225141,69,48,consistent decrease in difference,No
01-01-2025 00:00,1,1384.798548,1427.833095,-43.03454657,70,34,consistent increase in difference,No
01-01-2025 00:00,1,3193.226221,2756.65237,436.573851,71,21,consistent increase in difference,No
01-01-2025 00:00,1,7989.706196,13198.30881,-5208.602609,72,35,consistent decrease in difference,No
01-01-2025 00:00,1,2619.992768,2573.298671,46.69409723,73,45,consistent increase in difference,No
01-01-2025 00:00,1,7135.492908,6988.293287,147.1996217,74,13,consistent increase in difference,No
01-01-2025 00:00,1,9966.542554,5647.371655,4319.170899,75,34,consistent increase in difference,No
01-01-2025 00:00,1,9525.06613,9481.537276,43.52885389,76,28,consistent decrease in difference,No
01-01-2025 00:00,1,2503.678759,3175.057429,-671.3786697,77,46,consistent decrease in difference,No
01-01-2025 00:00,1,2599.086006,2485.725599,113.360407,78,32,consistent increase in difference,No
01-01-2025 00:00,1,4696.234975,4676.387044,19.84793151,79,43,Sudden spike in Difference due to GL Balance,Yes
01-01-2025 00:00,1,5835.225609,5801.338709,33.88690015,80,7,Sudden spike in Difference due to GL Balance,Yes
01-01-2025 00:00,1,5322.726969,12753.15148,-7430.424507,81,21,consistent decrease in difference,No
01-01-2025 00:00,1,3773.658319,3708.214089,65.44422995,82,30,consistent increase in difference,No
01-01-2025 00:00,1,2532.990592,2390.72334,142.2672522,83,33,Sudden spike in Difference due to GL Balance,Yes
01-01-2025 00:00,1,5944.816861,12601.13204,-6656.315184,84,16,consistent decrease in difference,No
01-01-2025 00:00,1,7331.002431,7451.152079,-120.1496477,85,6,consistent increase in difference,No
01-01-2025 00:00,1,4091.192822,5301.334908,-1210.142086,86,19,consistent decrease in difference,No
01-01-2025 00:00,1,4153.679816,12997.25757,-8843.577757,87,47,consistent decrease in difference,No
01-01-2025 00:00,1,8649.746679,8704.752268,-55.00558898,88,46,consistent increase in difference,No
01-01-2025 00:00,1,5762.887802,5926.836506,-163.9487037,89,2,consistent decrease in difference,No
01-01-2025 00:00,1,4101.817789,3937.356819,164.4609697,90,28,consistent increase in difference,No
01-01-2025 00:00,1,2408.744058,2384.490074,24.25398426,91,12,consistent decrease in difference,No
01-01-2025 00:00,1,3332.139697,2405.97144,926.1682566,92,22,consistent increase in difference,No
01-01-2025 00:00,1,1734.58247,5633.928172,-3899.345703,93,43,consistent decrease in difference,No
01-01-2025 00:00,1,8626.105082,8627.349778,-1.244696135,94,34,Consistent,No
01-01-2025 00:00,1,3716.45941,3763.647845,-47.18843546,95,2,Sudden spike in Difference due to GL Balance,Yes
01-01-2025 00:00,1,3048.56899,11809.59573,-8761.026736,96,42,consistent decrease in difference,No
01-01-2025 00:00,1,7371.687417,7428.931183,-57.24376582,97,13,consistent increase in difference,No
